author_role,change_type,n,role_denominator,within_role_share
bot,bugfix,1,6,0.16666666666666666
bot,ci,3,6,0.5
bot,documentation,1,6,0.16666666666666666
bot,refactor,1,6,0.16666666666666666
external_nonbot,bugfix,1506,3404,0.44242068155111636
external_nonbot,build,95,3404,0.02790834312573443
external_nonbot,ci,122,3404,0.035840188014101056
external_nonbot,documentation,144,3404,0.04230317273795535
external_nonbot,feature,708,3404,0.20799059929494712
external_nonbot,maintenance,33,3404,0.009694477085781434
external_nonbot,other,9,3404,0.0026439482961222094
external_nonbot,performance,392,3404,0.11515863689776733
external_nonbot,refactor,155,3404,0.04553466509988249
external_nonbot,test,240,3404,0.07050528789659224
snapshot_nonwrite,bugfix,152,444,0.34234234234234234
snapshot_nonwrite,build,21,444,0.0472972972972973
snapshot_nonwrite,ci,74,444,0.16666666666666666
snapshot_nonwrite,documentation,1,444,0.0022522522522522522
snapshot_nonwrite,feature,40,444,0.09009009009009009
snapshot_nonwrite,maintenance,3,444,0.006756756756756757
snapshot_nonwrite,performance,22,444,0.04954954954954955
snapshot_nonwrite,refactor,44,444,0.0990990990990991
snapshot_nonwrite,test,87,444,0.19594594594594594
snapshot_write_plus,bugfix,625,1795,0.34818941504178275
snapshot_write_plus,build,86,1795,0.0479108635097493
snapshot_write_plus,ci,157,1795,0.08746518105849582
snapshot_write_plus,documentation,74,1795,0.041225626740947076
snapshot_write_plus,feature,207,1795,0.11532033426183844
snapshot_write_plus,maintenance,61,1795,0.033983286908077996
snapshot_write_plus,other,12,1795,0.006685236768802228
snapshot_write_plus,performance,202,1795,0.11253481894150417
snapshot_write_plus,refactor,243,1795,0.13537604456824512
snapshot_write_plus,test,128,1795,0.0713091922005571
