change_type,cross_scope,cross_component,n,median_churn,p75_churn,median_files,median_commits,median_human_reviews
bugfix,False,False,802,8.5,22.0,1.0,1.0,2.0
bugfix,False,True,537,17.0,42.0,1.0,1.0,2.0
bugfix,True,False,571,86.0,175.0,2.0,1.0,3.0
bugfix,True,True,374,109.5,261.75,4.0,1.0,4.0
build,False,False,114,4.0,17.75,1.0,1.0,2.0
build,False,True,3,26.0,114.5,1.0,5.0,2.0
build,True,False,67,36.0,143.0,3.0,1.0,3.0
build,True,True,18,310.5,429.5,15.5,7.5,6.5
ci,False,False,241,11.0,34.0,1.0,1.0,2.0
ci,False,True,1,9.0,9.0,2.0,2.0,5.0
ci,True,False,105,67.0,186.0,3.0,1.0,2.0
ci,True,True,9,93.0,127.0,10.0,2.0,4.0
documentation,False,False,195,8.0,29.5,1.0,1.0,2.0
documentation,True,False,24,61.5,215.75,4.5,1.0,2.5
documentation,True,True,1,220.0,220.0,6.0,1.0,19.0
feature,False,False,98,23.0,78.25,1.0,1.0,2.0
feature,False,True,166,59.0,199.0,3.0,1.0,4.0
feature,True,False,257,232.0,570.0,5.0,2.0,5.0
feature,True,True,434,427.0,921.75,8.0,1.0,7.0
maintenance,False,False,57,7.0,15.0,1.0,1.0,1.0
maintenance,False,True,5,51.0,86.0,3.0,1.0,2.0
maintenance,True,False,24,27.0,170.0,3.0,1.0,2.5
maintenance,True,True,11,211.0,368.0,22.0,2.0,2.0
other,False,False,2,18.5,20.25,1.5,3.0,1.5
other,False,True,1,655.0,655.0,2.0,2.0,1.0
other,True,False,10,530.5,629.75,9.0,1.5,3.0
other,True,True,8,1283.0,1409.25,12.5,1.5,3.0
performance,False,False,134,21.0,61.25,1.0,1.0,2.0
performance,False,True,213,67.0,144.0,2.0,1.0,3.0
performance,True,False,79,159.0,383.5,3.0,2.0,4.0
performance,True,True,190,377.5,737.5,6.0,3.0,6.0
refactor,False,False,107,48.0,143.0,2.0,1.0,2.0
refactor,False,True,90,140.0,317.75,4.0,1.0,3.0
refactor,True,False,106,276.0,724.5,6.5,1.0,2.0
refactor,True,True,140,391.5,997.0,11.5,1.0,4.0
test,False,False,383,12.0,42.0,1.0,1.0,2.0
test,True,False,69,105.0,265.0,3.0,1.0,3.0
test,True,True,3,263.0,1073.0,4.0,1.0,7.0
