month,active_pr_authors_nonbot,new_pr_authors_nonbot,repeat_pr_authors_nonbot,active_issue_authors_nonbot,new_issue_authors_nonbot
2024-01,78,45,33,184,131
2024-02,96,60,36,198,155
2024-03,121,72,49,245,190
2024-04,134,80,54,286,213
2024-05,118,65,53,234,155
2024-06,138,72,66,287,203
2024-07,161,67,94,357,250
2024-08,163,75,88,371,263
2024-09,163,67,96,341,218
2024-10,178,75,103,347,222
2024-11,171,72,99,294,201
2024-12,160,66,94,310,218
2025-01,189,90,99,308,204
2025-02,254,121,133,518,380
2025-03,301,148,153,582,430
2025-04,323,157,166,564,380
2025-05,316,141,175,425,268
2025-06,299,128,171,416,267
2025-07,401,188,213,434,290
2025-08,452,215,237,446,276
2025-09,459,195,264,448,269
2025-10,467,194,273,428,275
2025-11,472,199,273,422,271
2025-12,500,216,284,376,234
2026-01,511,223,288,361,212
2026-02,580,285,295,355,214
2026-03,802,407,395,523,332
2026-04,827,428,399,497,316
2026-05,860,448,412,415,273
2026-06,909,495,414,401,257
2026-07,1018,539,479,495,345
