left,right,n,denominator,share
amd_rocm,nvidia_cuda,380,5649,0.06726854310497433
intel_xpu,nvidia_cuda,95,5649,0.016817135776243584
cpu,nvidia_cuda,90,5649,0.015932023366967606
amd_rocm,intel_xpu,90,5649,0.015932023366967606
amd_rocm,cpu,71,5649,0.012568596211718889
cpu,intel_xpu,57,5649,0.01009028146574615
amd_rocm,google_tpu,12,5649,0.002124269782262347
cpu,other,9,5649,0.0015932023366967605
intel_xpu,other,9,5649,0.0015932023366967605
nvidia_cuda,other,9,5649,0.0015932023366967605
amd_rocm,other,8,5649,0.0014161798548415648
google_tpu,nvidia_cuda,8,5649,0.0014161798548415648
google_tpu,intel_xpu,7,5649,0.0012391573729863693
cpu,google_tpu,6,5649,0.0010621348911311736
amd_rocm,ascend_npu,3,5649,0.0005310674455655868
ascend_npu,intel_xpu,3,5649,0.0005310674455655868
ascend_npu,nvidia_cuda,3,5649,0.0005310674455655868
google_tpu,other,3,5649,0.0005310674455655868
ascend_npu,cpu,2,5649,0.0003540449637103912
ascend_npu,google_tpu,2,5649,0.0003540449637103912
ascend_npu,other,2,5649,0.0003540449637103912
