left,right,n,denominator,share
kernels_operators,quantization,301,5649,0.05328376703841388
kernels_operators,moe,297,5649,0.0525756771109931
attention,kernels_operators,271,5649,0.04797309258275801
moe,quantization,239,5649,0.04230837316339175
attention,model_implementation,168,5649,0.02973977695167286
kernels_operators,model_implementation,149,5649,0.026376349796424146
model_implementation,speculative_decoding,137,5649,0.0242520800141618
input_processing_multimodal,model_implementation,127,5649,0.022481855195609843
speculative_decoding,worker_model_runner,118,5649,0.020888652858913084
model_implementation,moe,116,5649,0.02053460789520269
compilation,worker_model_runner,112,5649,0.01982651796778191
model_implementation,model_loading_layers,107,5649,0.01894140555850593
input_processing_multimodal,serving_api,98,5649,0.01734820322180917
kernels_operators,worker_model_runner,97,5649,0.017171180739953974
attention,worker_model_runner,93,5649,0.016463090812533193
attention,kv_cache_data_movement,92,5649,0.016286068330677996
model_implementation,quantization,92,5649,0.016286068330677996
kv_cache_data_movement,worker_model_runner,90,5649,0.015932023366967606
compilation,kernels_operators,90,5649,0.015932023366967606
attention,speculative_decoding,87,5649,0.015400955921402018
kernels_operators,kv_cache_data_movement,86,5649,0.015223933439546823
attention,compilation,85,5649,0.015046910957691628
distributed_execution,worker_model_runner,84,5649,0.01486988847583643
distributed_execution,moe,83,5649,0.014692865993981235
compilation,model_implementation,81,5649,0.014338821030270845
kernels_operators,speculative_decoding,76,5649,0.013453708620994867
model_loading_layers,quantization,67,5649,0.011860506284298106
compilation,distributed_execution,65,5649,0.011506461320587715
kernels_operators,model_loading_layers,65,5649,0.011506461320587715
attention,quantization,63,5649,0.011152416356877323
model_implementation,worker_model_runner,59,5649,0.010444326429456542
device_platform,kernels_operators,56,5649,0.009913258983890954
distributed_execution,kernels_operators,54,5649,0.009559214020180564
attention,device_platform,51,5649,0.009028146574614976
kv_cache_data_movement,model_implementation,51,5649,0.009028146574614976
attention,moe,50,5649,0.008851124092759781
compilation,speculative_decoding,47,5649,0.008320056647194193
engine,serving_api,46,5649,0.008143034165338998
attention,model_loading_layers,46,5649,0.008143034165338998
model_loading_layers,moe,46,5649,0.008143034165338998
distributed_execution,engine,45,5649,0.007966011683483803
distributed_execution,model_implementation,43,5649,0.007611966719773411
kv_cache_data_movement,speculative_decoding,41,5649,0.00725792175606302
compilation,moe,39,5649,0.006903876792352629
attention,distributed_execution,36,5649,0.006372809346787042
model_loading_layers,speculative_decoding,36,5649,0.006372809346787042
compilation,quantization,36,5649,0.006372809346787042
lora,moe,35,5649,0.006195786864931847
device_platform,quantization,35,5649,0.006195786864931847
kernels_operators,sampling,35,5649,0.006195786864931847
moe,speculative_decoding,32,5649,0.005664719419366259
moe,worker_model_runner,32,5649,0.005664719419366259
distributed_execution,speculative_decoding,31,5649,0.005487696937511064
model_implementation,serving_api,31,5649,0.005487696937511064
device_platform,worker_model_runner,31,5649,0.005487696937511064
kv_cache_data_movement,scheduler,31,5649,0.005487696937511064
distributed_execution,kv_cache_data_movement,30,5649,0.0053106744556558685
input_processing_multimodal,worker_model_runner,30,5649,0.0053106744556558685
engine,worker_model_runner,29,5649,0.005133651973800672
kernels_operators,lora,29,5649,0.005133651973800672
distributed_execution,serving_api,29,5649,0.005133651973800672
lora,model_implementation,29,5649,0.005133651973800672
compilation,kv_cache_data_movement,28,5649,0.004956629491945477
input_processing_multimodal,model_loading_layers,28,5649,0.004956629491945477
serving_api,worker_model_runner,26,5649,0.004602584528235086
attention,input_processing_multimodal,25,5649,0.0044255620463798905
input_processing_multimodal,speculative_decoding,25,5649,0.0044255620463798905
sampling,speculative_decoding,25,5649,0.0044255620463798905
