left,right,n,denominator,share
production_code,tests,1980,5649,0.3505045140732873
documentation_examples,production_code,412,5649,0.0729332625243406
documentation_examples,tests,332,5649,0.05877146397592494
ci,tests,272,5649,0.048150115064613204
build,production_code,242,5649,0.042839440608957335
ci,production_code,199,5649,0.03522747388918392
build,tests,167,5649,0.029562754469817668
benchmarks,production_code,128,5649,0.022658877677465036
build,ci,113,5649,0.020003540449637106
benchmarks,tests,106,5649,0.018764383076650733
developer_tooling,production_code,76,5649,0.013453708620994867
build,documentation_examples,68,5649,0.012037528766153301
developer_tooling,tests,63,5649,0.011152416356877323
benchmarks,documentation_examples,60,5649,0.010621348911311737
developer_tooling,documentation_examples,59,5649,0.010444326429456542
ci,documentation_examples,56,5649,0.009913258983890954
benchmarks,build,33,5649,0.005841741901221455
build,developer_tooling,30,5649,0.0053106744556558685
ci,developer_tooling,29,5649,0.005133651973800672
benchmarks,developer_tooling,18,5649,0.003186404673393521
benchmarks,ci,17,5649,0.0030093821915383252
