month,issues_opened_all,issues_opened_nonbot,prs_opened_all,prs_opened_nonbot,prs_merged_all,prs_merged_nonbot,prs_closed_unmerged_all
2024-01,223,223,143,143,92,92,32
2024-02,228,228,182,182,98,98,39
2024-03,323,323,293,293,200,200,92
2024-04,368,368,335,335,218,218,68
2024-05,293,293,337,337,219,219,60
2024-06,359,359,440,440,329,329,78
2024-07,468,468,504,504,372,372,72
2024-08,502,502,517,517,378,378,105
2024-09,437,437,426,426,322,322,71
2024-10,429,429,454,448,356,353,86
2024-11,353,353,518,514,430,425,144
2024-12,359,359,480,478,337,337,83
2025-01,366,366,581,579,413,413,133
2025-02,654,654,733,731,490,485,274
2025-03,763,763,958,957,663,663,190
2025-04,719,719,924,923,667,667,193
2025-05,529,529,955,955,678,678,207
2025-06,507,507,781,781,504,504,197
2025-07,554,554,1201,1201,800,800,251
2025-08,631,631,1333,1327,878,877,286
2025-09,576,576,1406,1401,975,972,357
2025-10,578,578,1326,1323,872,871,385
2025-11,589,589,1263,1259,902,899,335
2025-12,472,472,1362,1359,799,795,496
2026-01,479,479,1419,1417,887,887,371
2026-02,520,520,1617,1615,864,864,427
2026-03,693,693,2342,2338,1076,1073,839
2026-04,787,787,1967,1965,809,809,612
2026-05,598,598,2106,2090,895,895,864
2026-06,517,517,2545,2523,1156,1153,1039
2026-07,675,675,2722,2696,1134,1134,871
