period,author_role,prs,unique_authors,period_denominator,share
2024,bot,12,1,4629,0.002592352559948153
2024,external_nonbot,1975,826,4629,0.42665802549146686
2024,snapshot_nonwrite,120,9,4629,0.02592352559948153
2024,snapshot_write_plus,2522,48,4629,0.5448260963491035
2025,bot,27,2,12823,0.0021055915152460424
2025,external_nonbot,7148,2172,12823,0.557435857443656
2025,snapshot_nonwrite,484,25,12823,0.03774467753255868
2025,snapshot_write_plus,5164,62,12823,0.4027138735085393
2026 Jan-Jul,bot,74,3,14718,0.005027857045794265
2026 Jan-Jul,external_nonbot,10994,3412,14718,0.7469764913711102
2026 Jan-Jul,snapshot_nonwrite,754,19,14718,0.051229786655795626
2026 Jan-Jul,snapshot_write_plus,2896,56,14718,0.19676586492729992
