architecture,affected_platforms,n
kernels_operators,nvidia_cuda,511
serving_api,backend_agnostic,511
model_implementation,backend_agnostic,475
support_only,backend_agnostic,470
support_only,amd_rocm,444
input_processing_multimodal,backend_agnostic,393
moe,nvidia_cuda,353
support_only,nvidia_cuda,337
quantization,nvidia_cuda,335
attention,nvidia_cuda,319
kv_cache_data_movement,backend_agnostic,315
kernels_operators,amd_rocm,306
worker_model_runner,backend_agnostic,268
model_implementation,nvidia_cuda,232
speculative_decoding,backend_agnostic,206
attention,amd_rocm,206
quantization,amd_rocm,189
moe,amd_rocm,184
model_loading_layers,backend_agnostic,179
compilation,nvidia_cuda,179
compilation,backend_agnostic,158
worker_model_runner,nvidia_cuda,156
distributed_execution,nvidia_cuda,140
attention,backend_agnostic,139
model_implementation,amd_rocm,128
distributed_execution,backend_agnostic,122
kernels_operators,backend_agnostic,122
support_only,intel_xpu,122
engine,backend_agnostic,108
moe,backend_agnostic,106
kv_cache_data_movement,nvidia_cuda,106
kernels_operators,intel_xpu,103
kernels_operators,cpu,102
support_only,cpu,97
model_loading_layers,nvidia_cuda,90
reliability_observability,backend_agnostic,90
sampling,backend_agnostic,89
compilation,amd_rocm,89
speculative_decoding,nvidia_cuda,87
kv_cache_data_movement,cpu,81
quantization,backend_agnostic,74
scheduler,backend_agnostic,69
model_loading_layers,amd_rocm,69
quantization,intel_xpu,68
device_platform,amd_rocm,68
lora,backend_agnostic,66
kv_cache_data_movement,amd_rocm,64
moe,intel_xpu,63
distributed_execution,amd_rocm,62
device_platform,nvidia_cuda,58
attention,cpu,58
other,backend_agnostic,58
device_platform,intel_xpu,57
attention,intel_xpu,56
configuration_shared_infrastructure,backend_agnostic,53
worker_model_runner,amd_rocm,48
device_platform,cpu,46
worker_model_runner,cpu,44
quantization,cpu,44
serving_api,nvidia_cuda,40
speculative_decoding,amd_rocm,39
input_processing_multimodal,nvidia_cuda,39
moe,cpu,37
serving_api,amd_rocm,36
input_processing_multimodal,amd_rocm,36
model_implementation,intel_xpu,34
worker_model_runner,intel_xpu,29
compilation,intel_xpu,27
engine,nvidia_cuda,26
lora,nvidia_cuda,26
configuration_shared_infrastructure,nvidia_cuda,25
support_only,google_tpu,24
sampling,nvidia_cuda,24
distributed_execution,intel_xpu,24
compilation,cpu,22
model_loading_layers,intel_xpu,21
distributed_execution,cpu,21
reliability_observability,nvidia_cuda,20
model_implementation,cpu,18
model_loading_layers,cpu,17
kv_cache_data_movement,intel_xpu,17
serving_api,cpu,16
input_processing_multimodal,cpu,16
reliability_observability,cpu,15
lora,intel_xpu,15
configuration_shared_infrastructure,amd_rocm,15
speculative_decoding,cpu,15
engine,amd_rocm,14
sampling,amd_rocm,14
lora,amd_rocm,14
speculative_decoding,intel_xpu,13
support_only,other,12
configuration_shared_infrastructure,intel_xpu,10
engine,cpu,9
sampling,intel_xpu,9
configuration_shared_infrastructure,cpu,9
input_processing_multimodal,intel_xpu,9
scheduler,nvidia_cuda,8
sampling,cpu,8
device_platform,backend_agnostic,7
reliability_observability,amd_rocm,7
model_loading_layers,google_tpu,6
reliability_observability,intel_xpu,6
other,nvidia_cuda,6
other,amd_rocm,5
engine,intel_xpu,5
serving_api,intel_xpu,5
attention,google_tpu,3
model_implementation,ascend_npu,3
scheduler,amd_rocm,3
support_only,ascend_npu,3
scheduler,cpu,3
worker_model_runner,google_tpu,3
compilation,google_tpu,3
other,cpu,3
other,intel_xpu,3
attention,ascend_npu,2
distributed_execution,google_tpu,2
serving_api,other,2
quantization,google_tpu,2
input_processing_multimodal,google_tpu,2
configuration_shared_infrastructure,google_tpu,2
model_implementation,google_tpu,2
lora,cpu,2
sampling,ascend_npu,1
kernels_operators,ascend_npu,1
kv_cache_data_movement,other,1
configuration_shared_infrastructure,other,1
compilation,ascend_npu,1
quantization,ascend_npu,1
engine,other,1
distributed_execution,other,1
kv_cache_data_movement,google_tpu,1
kernels_operators,google_tpu,1
moe,google_tpu,1
reliability_observability,google_tpu,1
other,google_tpu,1
