change_type,architecture,n
test,support_only,437
bugfix,model_implementation,353
bugfix,kernels_operators,336
ci,support_only,331
performance,kernels_operators,294
bugfix,serving_api,281
bugfix,attention,268
bugfix,quantization,254
bugfix,moe,247
bugfix,kv_cache_data_movement,242
bugfix,worker_model_runner,237
bugfix,input_processing_multimodal,219
feature,model_implementation,219
feature,kernels_operators,217
documentation,support_only,212
bugfix,compilation,187
feature,serving_api,180
build,support_only,170
feature,attention,168
feature,quantization,165
feature,kv_cache_data_movement,163
bugfix,speculative_decoding,157
performance,attention,149
bugfix,distributed_execution,137
bugfix,model_loading_layers,136
feature,moe,126
feature,worker_model_runner,125
feature,input_processing_multimodal,121
performance,moe,116
performance,model_implementation,115
feature,speculative_decoding,106
feature,model_loading_layers,96
bugfix,support_only,95
refactor,moe,95
feature,compilation,93
performance,compilation,90
refactor,kernels_operators,83
refactor,quantization,80
performance,worker_model_runner,72
refactor,model_implementation,71
refactor,serving_api,70
bugfix,device_platform,70
feature,distributed_execution,69
performance,quantization,68
feature,device_platform,67
bugfix,engine,65
refactor,input_processing_multimodal,62
performance,kv_cache_data_movement,57
bugfix,sampling,57
refactor,attention,54
bugfix,lora,53
performance,distributed_execution,51
bugfix,reliability_observability,50
refactor,kv_cache_data_movement,50
feature,reliability_observability,49
refactor,worker_model_runner,47
performance,speculative_decoding,43
bugfix,scheduler,43
performance,model_loading_layers,43
refactor,distributed_execution,37
feature,engine,36
refactor,model_loading_layers,34
performance,input_processing_multimodal,32
bugfix,other,32
maintenance,support_only,30
refactor,compilation,29
feature,support_only,28
bugfix,configuration_shared_infrastructure,27
performance,sampling,26
refactor,engine,26
feature,sampling,26
performance,serving_api,22
refactor,configuration_shared_infrastructure,22
feature,lora,22
performance,support_only,20
build,kernels_operators,20
feature,configuration_shared_infrastructure,19
refactor,device_platform,17
feature,scheduler,17
refactor,speculative_decoding,17
performance,lora,15
performance,device_platform,15
feature,other,15
refactor,sampling,14
other,model_implementation,13
performance,scheduler,11
performance,engine,11
maintenance,serving_api,11
refactor,lora,11
maintenance,reliability_observability,10
maintenance,attention,10
build,moe,10
maintenance,model_implementation,9
refactor,reliability_observability,9
build,quantization,9
maintenance,quantization,7
maintenance,distributed_execution,7
maintenance,configuration_shared_infrastructure,7
build,model_implementation,7
build,attention,7
performance,other,7
refactor,scheduler,6
other,input_processing_multimodal,6
maintenance,input_processing_multimodal,6
performance,configuration_shared_infrastructure,6
maintenance,worker_model_runner,6
ci,attention,6
refactor,support_only,5
maintenance,kernels_operators,5
maintenance,other,5
refactor,other,5
maintenance,moe,4
documentation,serving_api,4
build,model_loading_layers,4
test,moe,4
build,input_processing_multimodal,4
ci,configuration_shared_infrastructure,4
ci,moe,4
maintenance,kv_cache_data_movement,4
maintenance,device_platform,3
test,compilation,3
ci,engine,3
ci,compilation,3
maintenance,compilation,3
performance,reliability_observability,3
ci,input_processing_multimodal,3
other,quantization,3
ci,model_loading_layers,3
test,serving_api,3
ci,kernels_operators,3
build,configuration_shared_infrastructure,3
test,distributed_execution,2
build,compilation,2
other,serving_api,2
test,input_processing_multimodal,2
test,model_implementation,2
maintenance,speculative_decoding,2
ci,distributed_execution,2
ci,kv_cache_data_movement,2
ci,sampling,2
ci,serving_api,2
ci,lora,2
ci,model_implementation,2
build,serving_api,2
maintenance,model_loading_layers,2
other,kernels_operators,2
build,worker_model_runner,2
test,kernels_operators,2
other,moe,2
build,sampling,2
other,kv_cache_data_movement,2
build,kv_cache_data_movement,2
ci,quantization,2
ci,worker_model_runner,1
other,sampling,1
other,configuration_shared_infrastructure,1
ci,reliability_observability,1
documentation,model_implementation,1
ci,other,1
ci,speculative_decoding,1
documentation,compilation,1
maintenance,engine,1
maintenance,lora,1
other,device_platform,1
ci,device_platform,1
test,configuration_shared_infrastructure,1
documentation,model_loading_layers,1
documentation,reliability_observability,1
test,kv_cache_data_movement,1
test,model_loading_layers,1
other,speculative_decoding,1
other,distributed_execution,1
build,speculative_decoding,1
documentation,scheduler,1
build,device_platform,1
maintenance,scheduler,1
