change_type,project_scope,n
bugfix,production_code,2189
feature,production_code,927
bugfix,tests,865
feature,tests,606
performance,production_code,596
test,tests,454
refactor,production_code,438
ci,ci,329
performance,tests,240
feature,documentation_examples,240
refactor,tests,214
documentation,documentation_examples,211
build,build,196
bugfix,build,103
feature,build,92
bugfix,documentation_examples,85
ci,tests,82
maintenance,production_code,67
feature,ci,65
bugfix,ci,61
feature,benchmarks,50
performance,build,49
bugfix,benchmarks,48
refactor,documentation_examples,48
test,ci,47
build,ci,46
performance,benchmarks,45
build,production_code,32
ci,build,30
feature,developer_tooling,30
maintenance,developer_tooling,30
refactor,benchmarks,29
refactor,build,28
ci,developer_tooling,28
performance,ci,28
performance,documentation_examples,25
ci,production_code,25
maintenance,documentation_examples,23
refactor,ci,22
other,production_code,21
build,documentation_examples,21
build,tests,19
maintenance,tests,18
test,production_code,18
documentation,developer_tooling,16
other,tests,16
refactor,developer_tooling,14
other,documentation_examples,14
bugfix,developer_tooling,12
maintenance,benchmarks,10
ci,documentation_examples,10
build,developer_tooling,10
documentation,production_code,8
performance,developer_tooling,8
maintenance,ci,7
test,documentation_examples,7
documentation,build,6
documentation,ci,6
documentation,tests,5
test,build,5
build,benchmarks,4
ci,benchmarks,3
other,benchmarks,3
test,benchmarks,3
maintenance,build,2
documentation,benchmarks,2
test,developer_tooling,2
other,ci,2
other,build,2
documentation,other,1
feature,other,1
