project_scope,affected_platforms,n
production_code,backend_agnostic,2323
tests,backend_agnostic,1299
production_code,nvidia_cuda,1184
production_code,amd_rocm,707
tests,nvidia_cuda,697
tests,amd_rocm,588
documentation_examples,backend_agnostic,388
production_code,cpu,290
ci,amd_rocm,267
production_code,intel_xpu,243
ci,nvidia_cuda,226
build,nvidia_cuda,218
documentation_examples,nvidia_cuda,194
build,amd_rocm,176
tests,cpu,172
documentation_examples,amd_rocm,123
tests,intel_xpu,123
benchmarks,backend_agnostic,100
ci,intel_xpu,94
ci,cpu,92
build,cpu,89
ci,backend_agnostic,84
build,backend_agnostic,83
benchmarks,nvidia_cuda,74
developer_tooling,backend_agnostic,74
build,intel_xpu,62
documentation_examples,cpu,58
developer_tooling,nvidia_cuda,54
documentation_examples,intel_xpu,48
benchmarks,amd_rocm,38
developer_tooling,amd_rocm,36
developer_tooling,cpu,20
developer_tooling,intel_xpu,19
build,google_tpu,17
production_code,google_tpu,16
benchmarks,cpu,16
benchmarks,intel_xpu,15
documentation_examples,google_tpu,10
documentation_examples,other,9
tests,google_tpu,7
tests,other,7
ci,other,6
production_code,ascend_npu,5
ci,google_tpu,5
benchmarks,other,4
benchmarks,google_tpu,3
build,other,3
documentation_examples,ascend_npu,3
production_code,other,3
tests,ascend_npu,2
developer_tooling,ascend_npu,2
developer_tooling,google_tpu,2
developer_tooling,other,2
other,backend_agnostic,2
ci,ascend_npu,1
build,ascend_npu,1
benchmarks,ascend_npu,1
