merged_month,affected_platforms,n,denominator,share
2026-02,amd_rocm,152,861,0.1765389082462253
2026-02,ascend_npu,3,861,0.003484320557491289
2026-02,backend_agnostic,492,861,0.5714285714285714
2026-02,cpu,45,861,0.05226480836236934
2026-02,google_tpu,5,861,0.005807200929152149
2026-02,intel_xpu,24,861,0.027874564459930314
2026-02,nvidia_cuda,216,861,0.2508710801393728
2026-02,other,1,861,0.0011614401858304297
2026-03,amd_rocm,203,1072,0.18936567164179105
2026-03,ascend_npu,1,1072,0.0009328358208955224
2026-03,backend_agnostic,588,1072,0.5485074626865671
2026-03,cpu,58,1072,0.054104477611940295
2026-03,google_tpu,5,1072,0.0046641791044776115
2026-03,intel_xpu,47,1072,0.043843283582089554
2026-03,nvidia_cuda,251,1072,0.23414179104477612
2026-03,other,6,1072,0.005597014925373134
2026-04,amd_rocm,155,801,0.19350811485642946
2026-04,ascend_npu,2,801,0.0024968789013732834
2026-04,backend_agnostic,395,801,0.49313358302122345
2026-04,cpu,65,801,0.08114856429463171
2026-04,google_tpu,5,801,0.006242197253433208
2026-04,intel_xpu,66,801,0.08239700374531835
2026-04,nvidia_cuda,241,801,0.30087390761548066
2026-04,other,5,801,0.006242197253433208
2026-05,amd_rocm,169,853,0.1981242672919109
2026-05,ascend_npu,2,853,0.0023446658851113715
2026-05,backend_agnostic,377,853,0.44196951934349354
2026-05,cpu,70,853,0.08206330597889801
2026-05,google_tpu,12,853,0.01406799531066823
2026-05,intel_xpu,64,853,0.07502930832356389
2026-05,nvidia_cuda,263,853,0.3083235638921454
2026-05,other,2,853,0.0023446658851113715
2026-06,amd_rocm,225,1036,0.2171814671814672
2026-06,backend_agnostic,496,1036,0.47876447876447875
2026-06,cpu,72,1036,0.0694980694980695
2026-06,google_tpu,4,1036,0.003861003861003861
2026-06,intel_xpu,73,1036,0.07046332046332046
2026-06,nvidia_cuda,259,1036,0.25
2026-07,amd_rocm,247,1026,0.24074074074074073
2026-07,backend_agnostic,445,1026,0.4337231968810916
2026-07,cpu,77,1026,0.07504873294346978
2026-07,google_tpu,9,1026,0.008771929824561403
2026-07,intel_xpu,91,1026,0.08869395711500974
2026-07,nvidia_cuda,291,1026,0.28362573099415206
2026-07,other,1,1026,0.0009746588693957114
