merged_month,architecture,n,denominator,share
2026-02,attention,85,861,0.09872241579558652
2026-02,compilation,77,861,0.08943089430894309
2026-02,configuration_shared_infrastructure,14,861,0.016260162601626018
2026-02,device_platform,27,861,0.0313588850174216
2026-02,distributed_execution,46,861,0.053426248548199766
2026-02,engine,29,861,0.03368176538908246
2026-02,input_processing_multimodal,93,861,0.10801393728222997
2026-02,kernels_operators,134,861,0.15563298490127758
2026-02,kv_cache_data_movement,46,861,0.053426248548199766
2026-02,lora,21,861,0.024390243902439025
2026-02,model_implementation,137,861,0.15911730545876887
2026-02,model_loading_layers,55,861,0.06387921022067364
2026-02,moe,91,861,0.10569105691056911
2026-02,other,6,861,0.006968641114982578
2026-02,quantization,86,861,0.09988385598141696
2026-02,reliability_observability,16,861,0.018583042973286876
2026-02,sampling,22,861,0.025551684088269456
2026-02,scheduler,19,861,0.022067363530778164
2026-02,serving_api,84,861,0.0975609756097561
2026-02,speculative_decoding,43,861,0.04994192799070848
2026-02,support_only,199,861,0.2311265969802555
2026-02,worker_model_runner,70,861,0.08130081300813008
2026-03,attention,108,1072,0.10074626865671642
2026-03,compilation,103,1072,0.0960820895522388
2026-03,configuration_shared_infrastructure,20,1072,0.018656716417910446
2026-03,device_platform,36,1072,0.033582089552238806
2026-03,distributed_execution,59,1072,0.05503731343283582
2026-03,engine,31,1072,0.028917910447761194
2026-03,input_processing_multimodal,100,1072,0.09328358208955224
2026-03,kernels_operators,143,1072,0.1333955223880597
2026-03,kv_cache_data_movement,83,1072,0.07742537313432836
2026-03,lora,21,1072,0.01958955223880597
2026-03,model_implementation,140,1072,0.13059701492537312
2026-03,model_loading_layers,47,1072,0.043843283582089554
2026-03,moe,84,1072,0.07835820895522388
2026-03,other,4,1072,0.0037313432835820895
2026-03,quantization,84,1072,0.07835820895522388
2026-03,reliability_observability,26,1072,0.024253731343283583
2026-03,sampling,18,1072,0.016791044776119403
2026-03,scheduler,9,1072,0.008395522388059701
2026-03,serving_api,122,1072,0.11380597014925373
2026-03,speculative_decoding,58,1072,0.054104477611940295
2026-03,support_only,274,1072,0.2555970149253731
2026-03,worker_model_runner,113,1072,0.10541044776119403
2026-04,attention,102,801,0.12734082397003746
2026-04,compilation,70,801,0.08739076154806492
2026-04,configuration_shared_infrastructure,14,801,0.017478152309612985
2026-04,device_platform,33,801,0.04119850187265917
2026-04,distributed_execution,40,801,0.049937578027465665
2026-04,engine,13,801,0.016229712858926344
2026-04,input_processing_multimodal,55,801,0.0686641697877653
2026-04,kernels_operators,153,801,0.19101123595505617
2026-04,kv_cache_data_movement,68,801,0.08489388264669163
2026-04,lora,11,801,0.01373283395755306
2026-04,model_implementation,110,801,0.1373283395755306
2026-04,model_loading_layers,65,801,0.08114856429463171
2026-04,moe,101,801,0.12609238451935081
2026-04,other,8,801,0.009987515605493134
2026-04,quantization,98,801,0.12234706616729088
2026-04,reliability_observability,19,801,0.02372034956304619
2026-04,sampling,9,801,0.011235955056179775
2026-04,scheduler,6,801,0.00749063670411985
2026-04,serving_api,83,801,0.10362047440699126
2026-04,speculative_decoding,38,801,0.04744069912609238
2026-04,support_only,176,801,0.21972534332084895
2026-04,worker_model_runner,61,801,0.07615480649188515
2026-05,attention,118,853,0.13833528722157093
2026-05,compilation,55,853,0.06447831184056271
2026-05,configuration_shared_infrastructure,12,853,0.01406799531066823
2026-05,device_platform,24,853,0.02813599062133646
2026-05,distributed_execution,59,853,0.06916764361078546
2026-05,engine,24,853,0.02813599062133646
2026-05,input_processing_multimodal,43,853,0.05041031652989449
2026-05,kernels_operators,168,853,0.1969519343493552
2026-05,kv_cache_data_movement,96,853,0.11254396248534584
2026-05,lora,16,853,0.01875732708089097
2026-05,model_implementation,124,853,0.14536928487690504
2026-05,model_loading_layers,56,853,0.06565064478311841
2026-05,moe,108,853,0.12661195779601406
2026-05,other,11,853,0.012895662368112544
2026-05,quantization,95,853,0.11137162954279015
2026-05,reliability_observability,12,853,0.01406799531066823
2026-05,sampling,20,853,0.023446658851113716
2026-05,scheduler,10,853,0.011723329425556858
2026-05,serving_api,74,853,0.08675263774912075
2026-05,speculative_decoding,52,853,0.06096131301289566
2026-05,support_only,196,853,0.22977725674091443
2026-05,worker_model_runner,83,853,0.09730363423212192
2026-06,attention,104,1036,0.10038610038610038
2026-06,compilation,47,1036,0.045366795366795366
2026-06,configuration_shared_infrastructure,21,1036,0.02027027027027027
2026-06,device_platform,32,1036,0.03088803088803089
2026-06,distributed_execution,42,1036,0.04054054054054054
2026-06,engine,24,1036,0.023166023166023165
2026-06,input_processing_multimodal,76,1036,0.07335907335907337
2026-06,kernels_operators,165,1036,0.15926640926640925
2026-06,kv_cache_data_movement,112,1036,0.10810810810810811
2026-06,lora,20,1036,0.019305019305019305
2026-06,model_implementation,123,1036,0.11872586872586872
2026-06,model_loading_layers,49,1036,0.0472972972972973
2026-06,moe,116,1036,0.11196911196911197
2026-06,other,21,1036,0.02027027027027027
2026-06,quantization,127,1036,0.12258687258687259
2026-06,reliability_observability,23,1036,0.0222007722007722
2026-06,sampling,33,1036,0.03185328185328185
2026-06,scheduler,16,1036,0.015444015444015444
2026-06,serving_api,125,1036,0.12065637065637065
2026-06,speculative_decoding,57,1036,0.05501930501930502
2026-06,support_only,242,1036,0.2335907335907336
2026-06,worker_model_runner,77,1036,0.07432432432432433
2026-07,attention,145,1026,0.14132553606237816
2026-07,compilation,59,1026,0.057504873294346975
2026-07,configuration_shared_infrastructure,9,1026,0.008771929824561403
2026-07,device_platform,23,1026,0.022417153996101363
2026-07,distributed_execution,60,1026,0.05847953216374269
2026-07,engine,21,1026,0.02046783625730994
2026-07,input_processing_multimodal,88,1026,0.08576998050682261
2026-07,kernels_operators,199,1026,0.19395711500974658
2026-07,kv_cache_data_movement,118,1026,0.11500974658869395
2026-07,lora,15,1026,0.014619883040935672
2026-07,model_implementation,158,1026,0.1539961013645224
2026-07,model_loading_layers,48,1026,0.04678362573099415
2026-07,moe,108,1026,0.10526315789473684
2026-07,other,15,1026,0.014619883040935672
2026-07,quantization,98,1026,0.09551656920077972
2026-07,reliability_observability,27,1026,0.02631578947368421
2026-07,sampling,26,1026,0.025341130604288498
2026-07,scheduler,19,1026,0.018518518518518517
2026-07,serving_api,89,1026,0.08674463937621832
2026-07,speculative_decoding,80,1026,0.07797270955165692
2026-07,support_only,241,1026,0.23489278752436646
2026-07,worker_model_runner,86,1026,0.08382066276803118
