merged_month,change_type,n,denominator,share
2026-02,bugfix,348,861,0.40418118466898956
2026-02,build,23,861,0.026713124274099883
2026-02,ci,45,861,0.05226480836236934
2026-02,documentation,36,861,0.041811846689895474
2026-02,feature,135,861,0.156794425087108
2026-02,maintenance,24,861,0.027874564459930314
2026-02,other,2,861,0.0023228803716608595
2026-02,performance,98,861,0.11382113821138211
2026-02,refactor,82,861,0.09523809523809523
2026-02,test,68,861,0.07897793263646923
2026-03,bugfix,425,1072,0.396455223880597
2026-03,build,39,1072,0.036380597014925374
2026-03,ci,78,1072,0.07276119402985075
2026-03,documentation,52,1072,0.048507462686567165
2026-03,feature,152,1072,0.1417910447761194
2026-03,maintenance,23,1072,0.021455223880597014
2026-03,other,2,1072,0.0018656716417910447
2026-03,performance,92,1072,0.08582089552238806
2026-03,refactor,116,1072,0.10820895522388059
2026-03,test,93,1072,0.08675373134328358
2026-04,bugfix,333,801,0.4157303370786517
2026-04,build,34,801,0.04244694132334582
2026-04,ci,40,801,0.049937578027465665
2026-04,documentation,28,801,0.03495630461922597
2026-04,feature,145,801,0.18102372034956304
2026-04,maintenance,12,801,0.0149812734082397
2026-04,other,2,801,0.0024968789013732834
2026-04,performance,79,801,0.0986267166042447
2026-04,refactor,67,801,0.08364544319600499
2026-04,test,61,801,0.07615480649188515
2026-05,bugfix,323,853,0.3786635404454865
2026-05,build,35,853,0.041031652989449004
2026-05,ci,50,853,0.05861664712778429
2026-05,documentation,45,853,0.05275498241500586
2026-05,feature,166,853,0.19460726846424384
2026-05,maintenance,15,853,0.017584994138335287
2026-05,other,3,853,0.0035169988276670576
2026-05,performance,98,853,0.11488862837045721
2026-05,refactor,71,853,0.08323563892145369
2026-05,test,47,853,0.05509964830011723
2026-06,bugfix,421,1036,0.4063706563706564
2026-06,build,39,1036,0.037644787644787646
2026-06,ci,66,1036,0.0637065637065637
2026-06,documentation,33,1036,0.03185328185328185
2026-06,feature,187,1036,0.1805019305019305
2026-06,maintenance,10,1036,0.009652509652509652
2026-06,other,9,1036,0.008687258687258687
2026-06,performance,116,1036,0.11196911196911197
2026-06,refactor,69,1036,0.06660231660231661
2026-06,test,86,1036,0.08301158301158301
2026-07,bugfix,434,1026,0.42300194931773877
2026-07,build,32,1026,0.031189083820662766
2026-07,ci,77,1026,0.07504873294346978
2026-07,documentation,26,1026,0.025341130604288498
2026-07,feature,170,1026,0.16569200779727095
2026-07,maintenance,13,1026,0.012670565302144249
2026-07,other,3,1026,0.0029239766081871343
2026-07,performance,133,1026,0.12962962962962962
2026-07,refactor,38,1026,0.037037037037037035
2026-07,test,100,1026,0.09746588693957114
