merged_month,project_scope,n,denominator,share
2026-02,benchmarks,47,861,0.0545876887340302
2026-02,build,67,861,0.07781649245063879
2026-02,ci,71,861,0.08246225319396051
2026-02,developer_tooling,20,861,0.023228803716608595
2026-02,documentation_examples,107,861,0.12427409988385599
2026-02,production_code,662,861,0.7688734030197445
2026-02,tests,298,861,0.34610917537746805
2026-03,benchmarks,36,1072,0.033582089552238806
2026-03,build,78,1072,0.07276119402985075
2026-03,ci,124,1072,0.11567164179104478
2026-03,developer_tooling,44,1072,0.041044776119402986
2026-03,documentation_examples,139,1072,0.1296641791044776
2026-03,production_code,798,1072,0.7444029850746269
2026-03,tests,411,1072,0.3833955223880597
2026-04,benchmarks,25,801,0.031210986267166042
2026-04,build,77,801,0.09612983770287141
2026-04,ci,79,801,0.0986267166042447
2026-04,developer_tooling,19,801,0.02372034956304619
2026-04,documentation_examples,103,801,0.1285892634207241
2026-04,other,1,801,0.0012484394506866417
2026-04,production_code,625,801,0.7802746566791511
2026-04,tests,327,801,0.40823970037453183
2026-05,benchmarks,31,853,0.03634232121922626
2026-05,build,82,853,0.09613130128956623
2026-05,ci,96,853,0.11254396248534584
2026-05,developer_tooling,26,853,0.03048065650644783
2026-05,documentation_examples,114,853,0.1336459554513482
2026-05,production_code,657,853,0.7702227432590856
2026-05,tests,356,853,0.41735052754982416
2026-06,benchmarks,33,1036,0.03185328185328185
2026-06,build,108,1036,0.10424710424710425
2026-06,ci,115,1036,0.111003861003861
2026-06,developer_tooling,24,1036,0.023166023166023165
2026-06,documentation_examples,115,1036,0.111003861003861
2026-06,production_code,794,1036,0.7664092664092664
2026-06,tests,552,1036,0.5328185328185329
2026-07,benchmarks,25,1026,0.024366471734892786
2026-07,build,101,1026,0.09844054580896686
2026-07,ci,128,1026,0.12475633528265107
2026-07,developer_tooling,17,1026,0.016569200779727095
2026-07,documentation_examples,106,1026,0.10331384015594541
2026-07,other,1,1026,0.0009746588693957114
2026-07,production_code,785,1026,0.7651072124756335
2026-07,tests,575,1026,0.5604288499025342
