month,submitted_reviews_nonbot,submitted_reviews_snapshot_collaborator,active_snapshot_reviewers,inline_comments_nonbot,inline_comments_snapshot_collaborator
2024-01,260,214,12,345,297
2024-02,312,247,14,332,258
2024-03,651,561,23,804,697
2024-04,665,585,23,844,756
2024-05,844,705,31,911,780
2024-06,1041,941,30,1177,1077
2024-07,1156,1060,29,1232,1143
2024-08,1371,1180,30,1653,1431
2024-09,1010,868,32,1058,893
2024-10,1075,950,31,1103,952
2024-11,1218,1129,32,992,900
2024-12,1066,963,33,1025,914
2025-01,1300,1196,36,1097,974
2025-02,1799,1630,41,1622,1447
2025-03,2534,2244,53,2328,2014
2025-04,2566,2228,49,2061,1697
2025-05,2148,1937,57,1683,1474
2025-06,1898,1739,54,1656,1489
2025-07,2907,2620,54,2714,2417
2025-08,3405,2903,60,2886,2389
2025-09,3567,3143,60,3199,2722
2025-10,3696,3038,65,3507,2770
2025-11,3167,2688,61,2596,2142
2025-12,2806,2434,61,2240,1856
2026-01,3055,2653,63,2612,2186
2026-02,3235,2704,57,2517,1966
2026-03,3878,3300,63,2962,2456
2026-04,3058,2456,58,2570,1921
2026-05,2970,2518,59,2367,1892
2026-06,3501,2893,54,2605,2007
2026-07,3167,2567,52,2224,1596
