label,n,denominator,share,ci95_low,ci95_high
backend_agnostic,2793,5649,0.4944237918215613,0.481394181885311,0.5074609805212525
cpu,387,5649,0.0685077004779607,0.06220912481516345,0.0753927280736966
nvidia_cuda,1521,5649,0.26925119490175253,0.25784375251576214,0.2809722537368036
amd_rocm,1151,5649,0.20375287661533015,0.19345223620362512,0.21445615387207018
intel_xpu,365,5649,0.0646132058771464,0.058493537348643335,0.07132461944321362
ascend_npu,8,5649,0.0014161798548415648,0.0007177822508558722,0.002792215148723327
google_tpu,40,5649,0.007080899274207825,0.0052045239604540244,0.009627213216584243
cambricon_mlu,0,5649,0.0,0.0,0.0006795624552144324
other,15,5649,0.0026553372278279343,0.00160987468438173,0.00437675329151664
unknown,0,5649,0.0,0.0,0.0006795624552144324
