label,n,denominator,share,ci95_low,ci95_high
scheduler,79,5649,0.013984776066560452,0.011236140418750132,0.017393967112066373
engine,142,5649,0.025137192423437777,0.021366356708043936,0.02955342600964511
serving_api,577,5649,0.10214197203044786,0.09451328540661358,0.11031139741090967
worker_model_runner,490,5649,0.08674101610904585,0.07967938752157383,0.09436431527598257
kv_cache_data_movement,523,5649,0.0925827580102673,0.0852987038411439,0.10042054310191718
distributed_execution,306,5649,0.054168879447689854,0.04856347331810735,0.060380225759059415
moe,608,5649,0.10762966896795893,0.0998129911925378,0.11597962703439894
sampling,128,5649,0.022658877677465036,0.01909039002041452,0.026876131544636177
speculative_decoding,328,5649,0.05806337404850416,0.05225985972085441,0.06446753545331546
input_processing_multimodal,455,5649,0.080545229244114,0.0737304101495579,0.08793013976640267
model_implementation,792,5649,0.14020180562931492,0.1313921508659262,0.14950047108140013
model_loading_layers,320,5649,0.0566471941936626,0.05091478899931989,0.06298217123048522
lora,104,5649,0.018410338112940343,0.015217984932152248,0.02225723179980415
attention,662,5649,0.1171888829881395,0.10906021011597547,0.12583784398542344
kernels_operators,962,5649,0.17029562754469818,0.16071820299034797,0.18032116152472968
quantization,588,5649,0.10408921933085502,0.09639304432700584,0.11232348653901898
compilation,411,5649,0.07275624004248539,0.06626945100626738,0.07982370671568695
device_platform,175,5649,0.030978934324659233,0.026769801171149524,0.0358255256920442
reliability_observability,123,5649,0.02177376526818906,0.018280364084453275,0.02591713564036945
configuration_shared_infrastructure,90,5649,0.015932023366967606,0.012980349340856803,0.019541606238461254
support_only,1328,5649,0.23508585590369976,0.22421003848555882,0.24632172473420694
other,65,5649,0.011506461320587715,0.009038497362413637,0.014638349015764527
unknown,0,5649,0.0,0.0,0.0006795624552144324
