label,n,denominator,share,ci95_low,ci95_high
bugfix,2284,5649,0.40431934855726676,0.3915908715011509,0.41717786757020436
feature,955,5649,0.1690564701717118,0.1595082890352754,0.17905444490348307
performance,616,5649,0.1090458488228005,0.1011817434264574,0.11744130974484408
refactor,443,5649,0.07842095946185165,0.07169354749453673,0.08572135000487667
test,455,5649,0.080545229244114,0.0737304101495579,0.08793013976640267
documentation,220,5649,0.038944946008143036,0.03420524365517595,0.04431127977006957
ci,356,5649,0.06302000354044963,0.05697540417741439,0.0696585133020322
build,202,5649,0.03575854133474951,0.03122317174341872,0.040924873057006074
maintenance,97,5649,0.017171180739953974,0.014096914669406558,0.020901671486230674
other,21,5649,0.0037174721189591076,0.0024328133716144578,0.005676640812557488
unknown,0,5649,0.0,0.0,0.0006795624552144324
