signature,n,denominator,share
test | tests | support_only | backend_agnostic,133,5649,0.023543990086741014
test | tests | support_only | amd_rocm,132,5649,0.02336696760488582
bugfix | production_code+tests | serving_api | backend_agnostic,131,5649,0.023189945123030624
documentation | documentation_examples | support_only | backend_agnostic,125,5649,0.022127810231899452
bugfix | production_code | model_implementation | backend_agnostic,96,5649,0.016994158258098777
bugfix | production_code | input_processing_multimodal | backend_agnostic,70,5649,0.012391573729863693
ci | ci | support_only | amd_rocm,68,5649,0.012037528766153301
bugfix | production_code | serving_api | backend_agnostic,64,5649,0.011329438838732518
test | tests | support_only | nvidia_cuda,61,5649,0.010798371393166932
bugfix | production_code+tests | kv_cache_data_movement | backend_agnostic,61,5649,0.010798371393166932
bugfix | production_code+tests | input_processing_multimodal | backend_agnostic,52,5649,0.009205169056470171
ci | ci | support_only | backend_agnostic,45,5649,0.007966011683483803
ci | ci | support_only | nvidia_cuda,43,5649,0.007611966719773411
feature | production_code+tests | serving_api | backend_agnostic,38,5649,0.006726854310497433
bugfix | production_code | model_loading_layers | backend_agnostic,36,5649,0.006372809346787042
bugfix | production_code | kv_cache_data_movement | backend_agnostic,36,5649,0.006372809346787042
ci | ci | support_only | intel_xpu,35,5649,0.006195786864931847
bugfix | production_code | attention | nvidia_cuda,33,5649,0.005841741901221455
ci | ci+tests | support_only | amd_rocm,31,5649,0.005487696937511064
feature | production_code+tests | kv_cache_data_movement | backend_agnostic,30,5649,0.0053106744556558685
bugfix | production_code | worker_model_runner | backend_agnostic,29,5649,0.005133651973800672
build | build | support_only | nvidia_cuda,29,5649,0.005133651973800672
build | build | support_only | amd_rocm,28,5649,0.004956629491945477
documentation | documentation_examples | support_only | nvidia_cuda,22,5649,0.0038944946008143033
bugfix | production_code+tests | compilation | backend_agnostic,22,5649,0.0038944946008143033
test | tests | support_only | amd_rocm+nvidia_cuda,21,5649,0.0037174721189591076
maintenance | developer_tooling | support_only | backend_agnostic,21,5649,0.0037174721189591076
bugfix | benchmarks | support_only | backend_agnostic,20,5649,0.0035404496371039124
build | build | support_only | backend_agnostic,19,5649,0.0033634271552487167
bugfix | production_code | kernels_operators+moe | nvidia_cuda,19,5649,0.0033634271552487167
bugfix | production_code+tests | model_implementation | backend_agnostic,19,5649,0.0033634271552487167
bugfix | build | support_only | nvidia_cuda,18,5649,0.003186404673393521
bugfix | production_code | attention | amd_rocm,18,5649,0.003186404673393521
bugfix | production_code+tests | other | backend_agnostic,18,5649,0.003186404673393521
feature | production_code | serving_api | backend_agnostic,18,5649,0.003186404673393521
bugfix | production_code+tests | input_processing_multimodal+serving_api | backend_agnostic,18,5649,0.003186404673393521
bugfix | production_code | compilation | backend_agnostic,18,5649,0.003186404673393521
performance | production_code | kernels_operators+moe | nvidia_cuda,18,5649,0.003186404673393521
refactor | production_code | serving_api | backend_agnostic,18,5649,0.003186404673393521
test | tests | support_only | intel_xpu,17,5649,0.0030093821915383252
bugfix | production_code+tests | model_loading_layers | backend_agnostic,17,5649,0.0030093821915383252
bugfix | production_code | moe+quantization | nvidia_cuda,16,5649,0.0028323597096831295
bugfix | production_code | speculative_decoding | backend_agnostic,16,5649,0.0028323597096831295
feature | production_code+tests | kv_cache_data_movement | cpu,16,5649,0.0028323597096831295
bugfix | production_code | reliability_observability | backend_agnostic,15,5649,0.0026553372278279343
bugfix | production_code | model_implementation+speculative_decoding | backend_agnostic,15,5649,0.0026553372278279343
bugfix | production_code | kernels_operators+quantization | nvidia_cuda,14,5649,0.0024783147459727386
test | ci+tests | support_only | amd_rocm,14,5649,0.0024783147459727386
bugfix | production_code | attention+kernels_operators | nvidia_cuda,13,5649,0.002301292264117543
ci | ci | support_only | cpu,13,5649,0.002301292264117543
bugfix | production_code | input_processing_multimodal+model_implementation | backend_agnostic,13,5649,0.002301292264117543
performance | production_code | kernels_operators+quantization | nvidia_cuda,13,5649,0.002301292264117543
refactor | production_code+tests | input_processing_multimodal | backend_agnostic,13,5649,0.002301292264117543
feature | documentation_examples+production_code+tests | input_processing_multimodal+model_implementation | backend_agnostic,13,5649,0.002301292264117543
feature | production_code | kv_cache_data_movement | backend_agnostic,12,5649,0.002124269782262347
