project_scope_count,production_component_count,hardware_scope,n,denominator,share
1,1,backend_agnostic,718,5649,0.12710214197203046
2,1,backend_agnostic,632,5649,0.11187820853248362
1,0,backend_specific,568,5649,0.10054876969375111
1,0,backend_agnostic,408,5649,0.07222517259691981
1,2,backend_specific,402,5649,0.07116303770578863
1,1,backend_specific,330,5649,0.058417419012214554
1,2,backend_agnostic,283,5649,0.05009736236502036
2,2,backend_agnostic,231,5649,0.040892193308550186
2,2,backend_specific,199,5649,0.03522747388918392
2,1,backend_specific,179,5649,0.03168702425208001
2,0,backend_specific,158,5649,0.027969552133120905
2,3,backend_specific,116,5649,0.02053460789520269
1,3,backend_specific,103,5649,0.01823331563108515
1,3,backend_agnostic,91,5649,0.0161090458488228
3,1,backend_agnostic,91,5649,0.0161090458488228
1,0,cross_backend,80,5649,0.01416179854841565
2,3,backend_agnostic,70,5649,0.012391573729863693
3,2,backend_agnostic,64,5649,0.011329438838732518
3,2,backend_specific,63,5649,0.011152416356877323
2,0,backend_agnostic,52,5649,0.009205169056470171
3,1,backend_specific,47,5649,0.008320056647194193
2,2,cross_backend,43,5649,0.007611966719773411
1,2,cross_backend,43,5649,0.007611966719773411
3,3,backend_specific,37,5649,0.006549831828642237
2,0,cross_backend,30,5649,0.0053106744556558685
1,1,cross_backend,29,5649,0.005133651973800672
1,4,backend_specific,28,5649,0.004956629491945477
2,1,cross_backend,28,5649,0.004956629491945477
3,3,backend_agnostic,26,5649,0.004602584528235086
2,4,backend_specific,25,5649,0.0044255620463798905
3,3,cross_backend,24,5649,0.004248539564524694
3,2,cross_backend,21,5649,0.0037174721189591076
1,4,backend_agnostic,20,5649,0.0035404496371039124
2,4,backend_agnostic,18,5649,0.003186404673393521
3,1,cross_backend,17,5649,0.0030093821915383252
2,3,cross_backend,17,5649,0.0030093821915383252
4,1,backend_agnostic,16,5649,0.0028323597096831295
3,4,backend_specific,15,5649,0.0026553372278279343
4,2,backend_specific,15,5649,0.0026553372278279343
2,4,cross_backend,15,5649,0.0026553372278279343
4,3,backend_specific,14,5649,0.0024783147459727386
4,1,cross_backend,14,5649,0.0024783147459727386
3,0,backend_specific,13,5649,0.002301292264117543
1,3,cross_backend,12,5649,0.002124269782262347
1,5,backend_specific,11,5649,0.0019472473004071517
3,4,backend_agnostic,11,5649,0.0019472473004071517
4,2,backend_agnostic,9,5649,0.0015932023366967605
2,5,cross_backend,9,5649,0.0015932023366967605
4,2,cross_backend,9,5649,0.0015932023366967605
2,5,backend_specific,9,5649,0.0015932023366967605
3,0,backend_agnostic,8,5649,0.0014161798548415648
3,4,cross_backend,8,5649,0.0014161798548415648
3,5,backend_agnostic,8,5649,0.0014161798548415648
4,1,backend_specific,7,5649,0.0012391573729863693
5,3,backend_specific,7,5649,0.0012391573729863693
3,6,backend_specific,6,5649,0.0010621348911311736
1,6,backend_specific,6,5649,0.0010621348911311736
1,4,cross_backend,5,5649,0.0008851124092759781
2,5,backend_agnostic,5,5649,0.0008851124092759781
3,5,backend_specific,5,5649,0.0008851124092759781
3,5,cross_backend,5,5649,0.0008851124092759781
3,0,cross_backend,5,5649,0.0008851124092759781
3,7,backend_agnostic,4,5649,0.0007080899274207824
4,5,backend_specific,4,5649,0.0007080899274207824
4,3,backend_agnostic,4,5649,0.0007080899274207824
3,6,backend_agnostic,4,5649,0.0007080899274207824
5,1,cross_backend,3,5649,0.0005310674455655868
1,5,cross_backend,3,5649,0.0005310674455655868
5,4,cross_backend,3,5649,0.0005310674455655868
2,6,backend_specific,3,5649,0.0005310674455655868
2,6,backend_agnostic,3,5649,0.0005310674455655868
2,7,backend_agnostic,3,5649,0.0005310674455655868
1,5,backend_agnostic,3,5649,0.0005310674455655868
4,4,backend_specific,3,5649,0.0005310674455655868
4,4,cross_backend,3,5649,0.0005310674455655868
5,1,backend_agnostic,3,5649,0.0005310674455655868
5,2,backend_specific,3,5649,0.0005310674455655868
4,3,cross_backend,3,5649,0.0005310674455655868
5,7,cross_backend,2,5649,0.0003540449637103912
5,1,backend_specific,2,5649,0.0003540449637103912
2,7,backend_specific,2,5649,0.0003540449637103912
2,6,cross_backend,2,5649,0.0003540449637103912
1,6,backend_agnostic,2,5649,0.0003540449637103912
5,9,cross_backend,2,5649,0.0003540449637103912
6,4,backend_specific,2,5649,0.0003540449637103912
4,0,backend_agnostic,2,5649,0.0003540449637103912
3,8,backend_specific,2,5649,0.0003540449637103912
2,7,cross_backend,2,5649,0.0003540449637103912
3,6,cross_backend,2,5649,0.0003540449637103912
5,6,cross_backend,2,5649,0.0003540449637103912
4,5,cross_backend,2,5649,0.0003540449637103912
4,7,backend_specific,2,5649,0.0003540449637103912
4,0,cross_backend,2,5649,0.0003540449637103912
3,9,backend_specific,2,5649,0.0003540449637103912
1,8,backend_specific,1,5649,0.0001770224818551956
1,6,cross_backend,1,5649,0.0001770224818551956
1,9,cross_backend,1,5649,0.0001770224818551956
2,12,cross_backend,1,5649,0.0001770224818551956
2,8,backend_agnostic,1,5649,0.0001770224818551956
1,9,backend_agnostic,1,5649,0.0001770224818551956
3,7,cross_backend,1,5649,0.0001770224818551956
3,9,cross_backend,1,5649,0.0001770224818551956
3,8,cross_backend,1,5649,0.0001770224818551956
3,12,cross_backend,1,5649,0.0001770224818551956
4,7,cross_backend,1,5649,0.0001770224818551956
4,8,backend_specific,1,5649,0.0001770224818551956
4,10,cross_backend,1,5649,0.0001770224818551956
4,13,cross_backend,1,5649,0.0001770224818551956
5,0,cross_backend,1,5649,0.0001770224818551956
4,6,backend_specific,1,5649,0.0001770224818551956
4,4,backend_agnostic,1,5649,0.0001770224818551956
5,4,backend_specific,1,5649,0.0001770224818551956
5,3,cross_backend,1,5649,0.0001770224818551956
5,7,backend_specific,1,5649,0.0001770224818551956
5,5,cross_backend,1,5649,0.0001770224818551956
6,0,cross_backend,1,5649,0.0001770224818551956
5,14,cross_backend,1,5649,0.0001770224818551956
6,1,backend_agnostic,1,5649,0.0001770224818551956
6,3,cross_backend,1,5649,0.0001770224818551956
6,11,cross_backend,1,5649,0.0001770224818551956
7,5,cross_backend,1,5649,0.0001770224818551956
