family,bucket,role,population_n,population_share,eligible_n,eligible_share,final_100_target,candidate_300_target,selected_300_n,selected_share,selected_minus_target,share_delta_percentage_points
change_type,bugfix,fixed_threefold_quota,1037,0.46880650994575046,680,0.4503311258278146,47,141,141,0.47,0,0.1193490054249513
change_type,build,fixed_threefold_quota,147,0.06645569620253164,82,0.054304635761589407,7,21,21,0.07,0,0.3544303797468368
change_type,ci,fixed_threefold_quota,153,0.06916817359855335,89,0.05894039735099338,7,21,21,0.07,0,0.08318264014466614
change_type,feature,fixed_threefold_quota,382,0.17269439421338156,292,0.19337748344370861,17,51,51,0.17,0,-0.2694394213381551
change_type,maintenance,fixed_threefold_quota,59,0.02667269439421338,40,0.026490066225165563,3,9,9,0.03,0,0.3327305605786618
change_type,other,fixed_threefold_quota,19,0.008589511754068717,13,0.008609271523178808,1,3,3,0.01,0,0.14104882459312837
change_type,performance,fixed_threefold_quota,115,0.051989150090415916,100,0.06622516556291391,5,15,15,0.05,0,-0.1989150090415913
change_type,refactor,fixed_threefold_quota,199,0.08996383363471971,149,0.09867549668874172,9,27,27,0.09,0,0.0036166365280282387
change_type,test,fixed_threefold_quota,101,0.045660036166365284,65,0.04304635761589404,4,12,12,0.04,0,-0.5660036166365283
primary_scope,benchmarks,fixed_threefold_quota,40,0.018083182640144666,21,0.01390728476821192,2,6,6,0.02,0,0.19168173598553342
primary_scope,build,fixed_threefold_quota,175,0.07911392405063292,94,0.06225165562913907,8,24,24,0.08,0,0.0886075949367085
primary_scope,ci,fixed_threefold_quota,106,0.04792043399638336,52,0.03443708609271523,5,15,15,0.05,0,0.20795660036166397
primary_scope,developer_tooling,fixed_threefold_quota,10,0.0045207956600361665,6,0.003973509933774834,0,0,0,0.0,0,-0.45207956600361665
primary_scope,other,fixed_threefold_quota,1,0.0004520795660036166,0,0.0,0,0,0,0.0,0,-0.045207956600361664
primary_scope,production_code,fixed_threefold_quota,1748,0.7902350813743219,1246,0.8251655629139073,79,237,237,0.79,0,-0.023508137432182163
primary_scope,tests,fixed_threefold_quota,132,0.059674502712477394,91,0.06026490066225165,6,18,18,0.06,0,0.03254972875226039
architecture_shape,multi_component,fixed_threefold_quota,518,0.23417721518987342,376,0.24900662251655628,23,69,69,0.23,0,-0.41772151898734067
architecture_shape,single_component,fixed_threefold_quota,1230,0.5560578661844484,870,0.5761589403973509,56,168,168,0.56,0,0.39421338155516406
architecture_shape,support_only,fixed_threefold_quota,464,0.20976491862567812,264,0.17483443708609273,21,63,63,0.21,0,0.023508137432187715
workload_bucket,bugfix | benchmarks | support_only,fixed_threefold_quota,19,0.008589511754068717,9,0.005960264900662252,1,3,3,0.01,0,0.14104882459312837
workload_bucket,bugfix | build | support_only,fixed_threefold_quota,25,0.011301989150090416,11,0.00728476821192053,1,3,3,0.01,0,-0.13019891500904157
