change_type,primary_scope,architecture_shape,workload_bucket,population_n,population_share,eligible_n,final_100_quota,candidate_300_quota,selected_300_n
bugfix,benchmarks,support_only,bugfix | benchmarks | support_only,19,0.008589511754068717,9,1,3,3
bugfix,build,support_only,bugfix | build | support_only,25,0.011301989150090416,11,1,3,3
bugfix,production_code,multi_component,bugfix | production_code | multi_component,223,0.10081374321880651,153,9,27,27
bugfix,production_code,single_component,bugfix | production_code | single_component,762,0.3444846292947559,501,36,108,108
build,build,support_only,build | build | support_only,127,0.057414104882459314,68,5,15,15
build,production_code,single_component,build | production_code | single_component,8,0.003616636528028933,3,1,3,3
build,tests,support_only,build | tests | support_only,6,0.0027124773960217,5,1,3,3
ci,build,support_only,ci | build | support_only,12,0.0054249547920434,7,1,3,3
ci,ci,support_only,ci | ci | support_only,106,0.04792043399638336,52,5,15,15
ci,tests,support_only,ci | tests | support_only,13,0.005877034358047016,11,1,3,3
feature,benchmarks,support_only,feature | benchmarks | support_only,11,0.004972875226039783,5,1,3,3
feature,production_code,multi_component,feature | production_code | multi_component,169,0.07640144665461121,125,7,21,21
feature,production_code,single_component,feature | production_code | single_component,195,0.08815551537070525,158,9,27,27
maintenance,production_code,multi_component,maintenance | production_code | multi_component,12,0.0054249547920434,8,1,3,3
maintenance,production_code,single_component,maintenance | production_code | single_component,41,0.018535262206148283,27,2,6,6
other,production_code,multi_component,other | production_code | multi_component,8,0.003616636528028933,6,1,3,3
performance,build,support_only,performance | build | support_only,10,0.0045207956600361665,8,1,3,3
performance,production_code,multi_component,performance | production_code | multi_component,33,0.014918625678119348,28,2,6,6
performance,production_code,single_component,performance | production_code | single_component,69,0.031193490054249547,63,2,6,6
refactor,production_code,multi_component,refactor | production_code | multi_component,60,0.027124773960216998,43,3,9,9
refactor,production_code,single_component,refactor | production_code | single_component,135,0.06103074141048825,103,6,18,18
test,tests,support_only,test | tests | support_only,100,0.045207956600361664,64,4,12,12
